store_id,name,genre,subgenre
com.orcas.panthia.island.fairyscapes,"Panthia®: Magic & Merge Game","Casual",TBD
com.king.petrescuesaga,"Pet Rescue Saga","Casual",TBD
com.tp.pmu3d,"Pick Me Up 3D: Taxi Game","Casual",TBD
com.olleyo.piggy.king.free,"Piggy Kingdom","Casual",TBD
com.bgg.jump,"Project Makeover","Casual",TBD
com.aa.puffup,"Puff Up - Balloon puzzle game","Casual",TBD
com.direwolfdigital.sagrada,"Sagrada","Casual",TBD
com.satispuzzlegame.perfectday,"SatisPuzzle: Tidy Up","Casual",TBD
com.miramerge,"Star Merge - Match Island Game","Casual",TBD
com.TwinCrab.Motorpolia,"State Connect: Traffic Control","Casual",TBD
com.aladdinx.suikagame,"Suika Game","Casual",TBD
com.fatmerge.global,"Tasty Travels: Merge Game","Casual",TBD
com.trending.tik.tap.game.challenge,"Tik Tap Challenge","Casual",TBD
and.lihuhu.tilesinhole,"Tiles in Hole: Black Hole","Casual",TBD
com.VuVuu.TinyTerraces,"Tiny Terraces","Casual",TBD
com.playrix.township,"Township","Casual",TBD
com.fp.helpmeplease.trickystories,"Tricky Puzzle: Fun Brain Story","Casual",TBD
com.sh.tricky.relax.ticktock.mini.challenges.puzzle.games,"Tricky Relax Challenge Games","Casual",TBD
com.vm3.global,"Truck Star","Casual",TBD
com.gdrhrhw.utxdm,"Unravel Master: Tangle Puzzle","Casual",TBD
com.red.sortingstore.android,"Water Match™- ASMR Water Sort","Casual",TBD
com.EvilTortillaGamesInc.WhosYourDaddy,"Who's Your Daddy?!","Casual",TBD
com.xman.eu.gp,"X-Clash","Casual",TBD
com.xman.na.gp,"X-Clash","Casual",TBD
com.yoyaworld.sparkle,"YoYa Sparkle: Style Pop","Casual",TBD
se.filimundus.briorailway,"BRIO World - Railway","Educational",TBD
com.anki.cozmo2,"Cozmo","Educational",TBD
uk.co.topmarks.HitTheButton,"Hit the Button Math","Educational",TBD
uk.co.bluezoo.numberblocks.game1,"Numberblocks: Hide and Seek","Educational",TBD
tech.ula.ogtrail,"OG Trail - Travel to Oregon","Educational",TBD
org.pbskids.gamesapp,"PBS KIDS Games App","Educational",TBD
com.teachyourmonstertoread.tmapp,"Teach Your Monster to Read","Educational",TBD
com.tocaboca.tocalifeworld,"Toca Boca World","Educational",TBD
com.fizzd.connectedworlds,"A Dance of Fire and Ice","Music",TBD
com.rolling.hop.dancing.cats.tiles.musicgames,"Dancing Cats 2: Music Games","Music",TBD
com.sofarsogood.incredibox,"Incredibox","Music",TBD
com.MontanaGames.LowridersComebackBlvrd,"Lowriders Comeback: Boulevard","Music",TBD
com.youmusic.magictiles,"Magic Tiles 3™ - Piano Game","Music",TBD
com.prpr.musedash,"Muse Dash","Music",TBD
com.bunbunstudio.magicblocktiles,"Music Piano 7: Rush Song Games","Music",TBD
com.bigbluebubble.msmcomposer,"My Singing Monsters Composer","Music",TBD
surf.beats.magic.song.game,"My Singing Pet: Pop Piano Game","Music",TBD
com.sprunki.mod.horror.incredibox.monster.beats.music.game,"Sprunki Beat: Full Mod Music","Music",TBD
com.amanotes.beathopper,"Tiles Hop Music & Ball Game","Music",TBD
com.SecretModeLimited.ALittletotheLeftCupboards,"A Little to the Left: Drawers","Puzzle",TBD
